"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: capacity","Param: coder"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate","avgt",1,25,"3845,019713","5,242383","MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate.norm","avgt",1,25,"752,000042","0,000047","B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:·gc.count","avgt",1,25,"390,000000",NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:·gc.time","avgt",1,25,"502,000000",NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,"201,234068","0,617906","ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate","avgt",1,25,"8265,034202","25,236977","MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate.norm","avgt",1,25,"1744,000040","0,000048","B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:·gc.count","avgt",1,25,"843,000000",NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:·gc.time","avgt",1,25,"1177,000000",NaN,"ms",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder","avgt",1,25,"186,621084","0,457967","ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:·gc.alloc.rate","avgt",1,25,"3842,843229","9,434079","MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:·gc.alloc.rate.norm","avgt",1,25,"752,000040","0,000046","B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:·gc.count","avgt",1,25,"392,000000",NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:·gc.time","avgt",1,25,"612,000000",NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder","avgt",1,25,"203,486885","0,671142","ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:·gc.alloc.rate","avgt",1,25,"8173,544019","27,018287","MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:·gc.alloc.rate.norm","avgt",1,25,"1744,000036","0,000044","B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:·gc.count","avgt",1,25,"833,000000",NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:·gc.time","avgt",1,25,"1257,000000",NaN,"ms",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format","avgt",1,25,"801,106586","12,284027","ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format:·gc.alloc.rate","avgt",1,25,"2172,182611","32,833765","MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format:·gc.alloc.rate.norm","avgt",1,25,"1824,000109","0,000155","B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format:·gc.count","avgt",1,25,"222,000000",NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format:·gc.time","avgt",1,25,"407,000000",NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format","avgt",1,25,"821,025577","11,182038","ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format:·gc.alloc.rate","avgt",1,25,"3294,231952","45,358745","MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format:·gc.alloc.rate.norm","avgt",1,25,"2835,200138","7,339492","B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format:·gc.count","avgt",1,25,"335,000000",NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_format:·gc.time","avgt",1,25,"562,000000",NaN,"ms",128,UTF16
